State,Race,Percent
AL,White,14.4
AL,Black,15.9
AL,Other,10.1
AL,Multi,16.0
AK,White,12.5
AK,Black,16.0
AK,Other,11.9
AK,Multi,13.7
AZ,White,14.8
AZ,Black,15.8
AZ,Other,11.6
AZ,Multi,18.0
AR,White,13.3
AR,Black,12.2
AR,Other,14.7
AR,Multi,37.3
CA,White,12.6
CA,Black,17.9
CA,Other,10.3
CA,Multi,20.8
CO,White,12.3
CO,Black,12.0
CO,Other,10.6
CO,Multi,19.8
CT,White,13.8
CT,Black,18.6
CT,Other,11.3
CT,Multi,18.3
DE,White,13.9
DE,Black,16.9
DE,Other,13.8
DE,Multi,14.0
DC,White,13.1
DC,Black,20.4
DC,Other,21.3
DC,Multi,25.5
FL,White,12.2
FL,Black,11.5
FL,Other,13.5
FL,Multi,16.6
GA,White,14.0
GA,Black,14.7
GA,Other,10.2
GA,Multi,20.2
HI,White,12.5
HI,Black,11.5
HI,Other,13.9
HI,Multi,24.6
ID,White,11.9
ID,Black,5.9
ID,Other,18.4
ID,Multi,28.8
IL,White,13.9
IL,Black,18.7
IL,Other,6.1
IL,Multi,22.9
IN,White,14.4
IN,Black,18.8
IN,Other,9.6
IN,Multi,17.2
IA,White,12.5
IA,Black,28.6
IA,Other,15.3
IA,Multi,17.2
KS,White,13.3
KS,Black,17.8
KS,Other,12.6
KS,Multi,30.3
KY,White,16.7
KY,Black,17.3
KY,Other,21.2
KY,Multi,30.8
LA,White,12.1
LA,Black,14.4
LA,Other,8.2
LA,Multi,15.1
ME,White,16.1
ME,Black,11.9
ME,Other,23.3
ME,Multi,29.7
MD,White,12.4
MD,Black,17.2
MD,Other,8.2
MD,Multi,23.8
MA,White,17.0
MA,Black,21.9
MA,Other,16.8
MA,Multi,30.6
MI,White,14.7
MI,Black,17.9
MI,Other,13.2
MI,Multi,28.1
MN,White,11.8
MN,Black,17.4
MN,Other,8.5
MN,Multi,17.5
MS,White,11.7
MS,Black,13.6
MS,Other,13.0
MS,Multi,30.2
MO,White,13.3
MO,Black,21.9
MO,Other,14.5
MO,Multi,32.4
MT,White,13.2
MT,Black,12.0
MT,Other,13.6
MT,Multi,17.4
NE,White,12.1
NE,Black,21.0
NE,Other,8.8
NE,Multi,16.0
NV,White,12.6
NV,Black,17.8
NV,Other,9.5
NV,Multi,13.3
NH,White,14.2
NH,Black,15.4
NH,Other,14.0
NH,Multi,11.2
NJ,White,12.2
NJ,Black,17.4
NJ,Other,9.3
NJ,Multi,19.8
NM,White,14.2
NM,Black,12.6
NM,Other,13.9
NM,Multi,27.5
NY,White,14.5
NY,Black,16.8
NY,Other,13.0
NY,Multi,15.6
NC,White,11.5
NC,Black,13.1
NC,Other,7.9
NC,Multi,12.7
ND,White,11.7
ND,Black,6.1
ND,Other,15.3
ND,Multi,37.7
OH,White,14.0
OH,Black,22.0
OH,Other,11.8
OH,Multi,21.1
OK,White,13.6
OK,Black,18.0
OK,Other,13.0
OK,Multi,24.3
OR,White,16.1
OR,Black,33.6
OR,Other,14.7
OR,Multi,25.0
PA,White,14.0
PA,Black,17.3
PA,Other,10.9
PA,Multi,28.1
RI,White,15.1
RI,Black,11.3
RI,Other,17.7
RI,Multi,24.5
SC,White,12.9
SC,Black,13.0
SC,Other,17.0
SC,Multi,26.7
SD,White,10.8
SD,Black,9.3
SD,Other,13.4
SD,Multi,24.3
TN,White,13.9
TN,Black,12.6
TN,Other,17.9
TN,Multi,35.9
TX,White,10.4
TX,Black,15.4
TX,Other,8.6
TX,Multi,19.2
UT,White,13.6
UT,Black,14.5
UT,Other,11.7
UT,Multi,19.0
VT,White,16.1
VT,Black,13.0
VT,Other,25.9
VT,Multi,26.3
VA,White,12.2
VA,Black,14.2
VA,Other,12.6
VA,Multi,17.4
WA,White,15.6
WA,Black,15.5
WA,Other,9.8
WA,Multi,17.2
WV,White,14.2
WV,Black,18.3
WV,Other,25.7
WV,Multi,22.9
WI,White,12.0
WI,Black,23.2
WI,Other,12.5
WI,Multi,30.0
WY,White,11.8
WY,Black,27.2
WY,Other,8.0
WY,Multi,27.9
GU,White,5.9
GU,Black,6.0
GU,Other,12.3
GU,Multi,16.0
PR,White,16.6
PR,Black,17.6
PR,Other,17.9
PR,Multi,15.8
